Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2025/02,02/13/2025 02:50,Tampico,Tamaulipas,Mexico,Cylinder,There were 6 cylindrical points forming a hexagon.,Y,,
Open,2025/02,02/12/2025 23:30,Schenectady,NY,USA,Oval,"Neon green, oval shape. Maybe circle but looked oval. very strange",,,
Open,2025/02,02/12/2025 21:40,Lightsview,South Australia,Australia,Changing,Initially looked like a shooting star but entering and breaking up and was very bright and later when walking back bright light seen.,,,
Open,2025/02,02/12/2025 20:00,Bridgeport,NE,USA,Circle,"Very Large Ferris Wheel Looking object, bigger than a large drone. Red, Green and White Lights, Moving Slowly in all directions",,,
Open,2025/02,02/12/2025 19:00,Las Vegas,NV,USA,Orb,"Synchronized flashing patterns in the sky, and yesterday there was one that got really close",Y,,
Open,2025/02,02/12/2025 18:52,Bothell,WA,USA,Light,Saw 5 bright dark orange lights flying in the night sky in a straight line south-to-north. No navigation lights. No sound. No contrails,Y,Chinese Lantern?,
Open,2025/02,02/12/2025 12:30,Richlands,VA,USA,Triangle,A black triangle shaped UFO,,,
Open,2025/02,02/12/2025 06:10,Playa del Carmen,Quintana Roo,Mexico,Circle,"Suddenly a star began to move; it was first stationary, then it moved a little and stopped again for 5 seconds, and continued moving",,,
Open,2025/02,02/12/2025 06:10,Miami,FL,USA,Circle,Saw aprox 10 flying circular shaped objects in military formation,,,
Open,2025/02,02/12/2025 06:10,Port Orange,FL,USA,Unknown,A line of approximately 12-16 non flashing lights,,Starlink,
Open,2025/02,02/11/2025 21:30,Ridgefield,WA,USA,Light,"Two bright flame green lights close together like “taillights"". They appeared then sped away and disappeared in less than a second.",,,
Open,2025/02,02/11/2025 20:56,Olympia,WA,USA,Light,Triangular shaped bright yellowish light that appeared to be slowly morphing.,Y,,
Open,2025/02,02/11/2025 20:18,San Diego,CA,USA,Triangle,We saw a large black triangle with curved corners flying very fast in the air,,,
Open,2025/02,02/11/2025 20:01,Coventry,RI,USA,Triangle,Flying object with oval shape with three lights underneath in triangular formation,,,
Open,2025/02,02/11/2025 09:55,Chicago,IL,USA,Triangle,A red craft moving at a smooth yet fast speed flew across the terminal until I couldn’t see it anymore.,,,
Open,2025/02,02/11/2025 08:10,North Amityville,NY,USA,Sphere,two grey spheres moving in tandem above residential area very close to airline traffic,Y,Balloons?,
Open,2025/02,02/10/2025 20:08,Tucson,AZ,USA,Fireball,"Light moved above trees. Looked like a fuzzy round ball of light, hovered for maybe 30 seconds,",Y,Aircraft?,
Open,2025/02,02/10/2025 19:40,Los Mochis,Sinaloa,Mexico,Circle,"An object was seen emitting light in front, like a lamp illuminating something. It was at night, disappearing and appearing at moments.",,Aircraft?,
