Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2024/10,10/26/2024 14:00,Irvine,CA,USA,Sphere,Silver/metallic orb flying northwest,,,
Open !,2024/10,10/26/2024 07:45,Fort Collins,CO,USA,Triangle,"Saw triangle shaped object traveling North to South, directly overhead.",,,
Open,2024/10,10/26/2024 05:21,Bellevue,NE,USA,Triangle,Triangle shaped UFO hovering near Offutt AFB,,,
Open !,2024/10,10/26/2024 03:15,Minneapolis,MN,USA,Light,White Lights Moving Strangely in the Sky,Y,,
Open,2024/10,10/26/2024 01:25,Barnum,MN,USA,Triangle,Hovering pulsating lights,,,
Open,2024/10,10/25/2024 23:00,Hartshorne,OK,USA,Formation,Two solid small lights a short distance apart moving quickly and low across the sky,,,
Open,2024/10,10/25/2024 22:57,Indianapolis,IN,USA,Light,It was a bright red circle light moving in the sky never seen it before,,,
Open !,2024/10,10/25/2024 22:25,Bellevue,NE,USA,Formation,Black triangle with yellow spots evenly within it,Y,,
Open,2024/10,10/25/2024 21:58,Utica,MN,USA,Disk,Multiple blinking objects noticed,Y,,
Open,2024/10,10/25/2024 21:15,North Kingstown,RI,USA,Formation,Low slow moving silent perfect formation,,,
Open,2024/10,10/25/2024 20:30,Newport,TN,USA,Star,Appeared to be a constellation at first changing shape 3 -4 times,Y,,
Open,2024/10,10/25/2024 20:13,Wheeling,WV,USA,Fireball,Witnessed downward shooting fireball object while driving in vehicle.,,Meteor,
Open,2024/10,10/25/2024 20:00,Wrightsville Beach,NC,USA,Orb,2 white lights appeared out of nowhere over ocean,,,
Open,2024/10,10/25/2024 19:59,San Bernardino,CA,USA,Orb,"Seen from our front yard in an easterly direction. Lights flew slowly from south to north, low in the horizon then faded out as it app",Y,Chinese Lantern,
Open,2024/10,10/25/2024 19:45,Baton Rouge,LA,USA,Triangle,"While stargazing notice an object moving really fast, 3 lights in the shape of a triangle, one light on each point. not plane",,,
Open,2024/10,10/25/2024 19:30,Dade City,FL,USA,Orb,"Fast Orb with three lights, zig zag with a helicopter sound but definitely not helicopter. White lights.",,,
Open,2024/10,10/25/2024 19:00,Chagrin Falls,OH,USA,Orb,"Softball sized white orb flew by at several hundred mph, then back by in the opposite direction. It was 15-20ft off the ground",,,
Open,2024/10,10/25/2024 18:46,Surbiton,England,United Kingdom,Formation,I was walking out the back door looked up at the sky and watched them until it disappeared,Y,Laser,
Open,2024/10,10/25/2024 18:30,Heiligenkreuz am Waasen,Styria,Austria,Other,There was a strange object in the sky that didn’t move and was blinking.,Y,Drone?,
Open,2024/10,10/25/2024 18:29,Målilla,Kalmar län,Sweden,Orb,"Pulsating UFO over Målilla, Sweden",Y,,
Open,2024/10,10/25/2024 17:25,Laurel,MS,USA,Formation,"Multiple UAP's in the Sky in Broad Daylight Laurel, MS",Y,,
Open,2024/10,10/25/2024 16:46,New York,NY,USA,Circle,At 446 PM directly above me were 150-200 moving objects that appeared to be a fleet of drones moving north across manhattan,Y,Balloons,
Open,2024/10,10/25/2024 15:18,Harare,Harare Province,Zimbabwe,Changing,"It was golden at first and looked like a plane but then it turned black and was changing shape from a circle, square , to an S shape",Y,Balloon?,
Open,2024/10,10/25/2024 13:09,Clinton,NJ,USA,Light,Starlike pinpoint traveling slowly and responding,,,
Open,2024/10,10/25/2024 07:12,Barrington,IL,USA,Cigar,Driving east when I saw this bright white light against the grey clouds and didn’t look like a plane because it was so bright,,Aircraft,
Open,2024/10,10/25/2024 05:15,Bastrop,TX,USA,Triangle,"Looking E I saw 16 white UFOs scattered across higher part of southern sky moving in unison WSW, the brighter ones appearing triangular",Y,,
Open,2024/10,10/25/2024 00:00,Salz,Bavaria,Germany,Orb,Blinky orbs blinks since yesterday.,Y,,
Open,2024/10,10/24/2024 23:40,Andersontown,MD,USA,Disk,Sighted UFO hovering over farm field,,,
Open,2024/10,10/24/2024 23:05,Slough,England,United Kingdom,Light,Several lights in a circle just going on then off,Y,Laser,
Open,2024/10,10/24/2024 21:00,Wheeling,WV,USA,Flash,Erratic fall and rise and zipping movement stayed in same general area,,,
Open,2024/10,10/24/2024 20:45,Clinton,NJ,USA,Cigar,Bright pulsating white object,Y,Aircraft,
Open,2024/10,10/24/2024 20:45,Wrightsville Beach,NC,USA,Formation,"Approx 15 degrees above horizon, over ocean. 135 degrees SE. lights appear to hover and sequential before disappearing",,,
,2024/10,,,,,,,,,
Open,2024/09,09/30/2024 22:33,Maroa,IL,USA,Sphere,Lights that appear randomly and then disappear,Y,,
Open,2024/09,09/30/2024 22:00,New York,NY,USA,Formation,At least six light orbs in a horseshoe formation either stationary or moving incredibly slowly for at least ten minutes over NYC.,,,
Open,2024/09,09/30/2024 21:00,Indianapolis,IN,USA,Light,"Noticed 3 lights in a triangle form, took photo and saw 5 lights total",Y,,
Open,2024/09,09/30/2024 19:59,Edgewood,WA,USA,Light,I looked thru my window and in between 2 branches of the tree in the front.,Y,,
Open,2024/09,09/30/2024 19:30,Yuma,AZ,USA,Light,I looked up and saw a non pulsating light which looked really high up. Within 10 seconds it went from easily visible to the light gone,,,
Open,2024/09,09/30/2024 19:18,Green Valley,IL,USA,Circle,Drivin hooked up and saw a really really bright light and zoomed in with my phone and saw it moving and then spinning,Y,,
Open,2024/09,09/30/2024 18:45,Tres Piedras,NM,USA,Other,White hovering figure 8,,,
Open,2024/09,09/30/2024 05:15,Spokane Valley,WA,USA,Chevron,I observed a high speed dimly lit chevron pass east to west over the Spokane Valley while looking at Orion in the night sky.,,,
Open,2024/09,09/30/2024 01:45,Patras,,Greece,Formation,Fade white lights in a triangle formation moving straight line,,,
Open,2024/09,09/30/2024 00:08,Weirton,WV,USA,Cylinder,"I see one about every 10 years, and I think I've been abducted a few times.",,,
Open,2024/09,09/29/2024 22:15,Rio Frio,Bragança,Portugal,Unknown,Very bright not moving object,Y,,
Open,2024/09,09/29/2024 21:50,Bozeman,MT,USA,Orb,"Fastest flying object I’ve ever witnessed, defied the laws of physics for how fast and sharply it turned.",,,
Open,2024/09,09/29/2024 20:20,Oregon City,OR,USA,Formation,While checking out the clear night sky we looked up above to see a light dancing moving steadily in different directions up-down-sides,,,
Open,2024/09,09/29/2024 12:50,Reno,NV,USA,Sphere,Sitting in my car noticed UAP in sky and began to record with cell phone.,Y,,
Open,2024/09,09/29/2024 12:20,Tucson,AZ,USA,Triangle,"Numerous bright orbs, triangle craft with other craft around it.",,,
Open,2024/09,09/29/2024 06:40,Rocky Mount,NC,USA,Rectangle,A streak across the sky like a shooting star.,Y,,
Open,2024/09,09/29/2024 05:32,Madison,WI,USA,Chevron,"Saw 2 space crafts, 1 at 5:32 am and one at 5:44am",,,
Open,2024/09,09/29/2024 01:30,Little Rock,AR,USA,Changing,Lights that rose from tree line,,,
Open,2024/09,09/28/2024 22:32,New York,NY,USA,Orb,Strange Red/orange lights appeared in the sky on the Upper East Side of Manhattan.,,Chinese Lantern?,
Open,2024/09,09/28/2024 21:36,Waterford,CT,USA,Disk,Small UFO seen descending and then quickly ascending back into cloud cover.,,,
Open !,2024/09,09/28/2024 20:15,Spearfish,SD,USA,Chevron,Larger than football field sized craft few over the sky in less than 10 seconds,Y,,
Open,2024/09,09/28/2024 12:45,Lake Saint Croix Beach,MN,USA,Cigar,Stationary to super fast to disappear,,,
Open,2024/09,09/28/2024 11:48,San Marcos,CA,USA,Circle,There were eight items in the sky in a pattern,Y,,
Open,2024/09,09/28/2024 10:05,Port Angeles,WA,USA,Oval,Photograph showed oval shape in two location that is not a sun flare on the lens and has no identifiable features of an insect or bird,Y,Insect?,
Open,2024/09,09/28/2024 06:24,Bremerton,WA,USA,Orb,To the naked eye it looked like a line part or the time then back to an orb. The second one was only an orb shape.,,,
Open,2024/09,09/28/2024 03:22,Kingman,AZ,USA,Light,from my pistachio farm i have seen every morning 3-3:30am multiple non aircraft lights over the grand canyon/hualapai reservation area.,,,
Open,2024/09,09/27/2024 21:46,Seffner,FL,USA,Chevron,Craft was moving twice as fast as satellites. About the size of my thumb at arm length. No sound. Looked transparent or sky colored,,,
Open,2024/09,09/27/2024 21:30,Sturgeon Bay,WI,USA,Cone,"15 or so lights very far off, moving in unison. 1 very large",Y,,
Open !,2024/09,09/27/2024 21:00,Moose Heights,BC,Canada,Circle,Very large circle shaped craft sitting close to ground with large bright green lighted square lights. The lights made a circle shape,,,
Open,2024/09,09/27/2024 20:41,Dixmont,ME,USA,Oval,No aircraft chasing it and it was shaped like a football with a light on one end and one on the other,,,
Open,2024/09,09/27/2024 20:40,Puyallup,WA,USA,Sphere,Saw 2 UFOs driving home. Both spheres. Got out of the car to film as the moved fast and disappeared.,Y,,
Open,2024/09,09/27/2024 20:00,Meriden,CT,USA,Orb,We saw an extremely unusual stationary yellow light that was very large frk,,,
Open,2024/09,09/27/2024 14:00,Las Vegas,NV,USA,Unknown,"Driving north on Buffalo Dr., when appearing above and in front of me were 3 objects of unusual shape, close in (100-300 ft. away).",,,
Open,2024/09,09/27/2024 06:10,Fairport,NY,USA,Rectangle,I looked up and there was a craft hovering over the tree,Y,,
Open,2024/09,09/26/2024 21:04,Kalamazoo,MI,USA,Disk,"We watched the ufo come down in the sky where it spun for 10 minutes, then shot a beam of light in the air, & silently flew over us.",Y,Comet,
Open,2024/09,09/26/2024 16:00,Big Sky,MT,USA,Cylinder,"Heard a fighter jet, ran outside, saw it and cylinder off to the side quarter mile",,,
Open,2024/09,09/26/2024 15:40,Tacoma,WA,USA,Sphere,5-year-old was looking out of the window while sitting at a red light and saw the object fly by above but parallel to the highway.,Y,,
Open,2024/09,09/26/2024 04:05,Marysville,CA,USA,Light,"Four stars in the sky as a rectangle, one a star for sure",,Satellites?,
Open,2024/09,09/26/2024 01:00,Mc Leod,MT,USA,Light,"Fast moving, erratically moving light",,,
Open,2024/09,09/25/2024 22:10,Meade,KS,USA,Changing,"(No moon, clear sky) Object was darting around and seemed to change colors and shape.",,,
Open,2024/09,09/25/2024 21:45,Freetown,MA,USA,Orb,Huge blue orb but it wasn't just round. It was long and oval. It would like go side to side up and down,Y,,
Open,2024/09,09/25/2024 21:30,Tincup,CO,USA,Unknown,Large object with 3 symmetrical rows of multicolored lights.,,,
Open,2024/09,09/25/2024 21:07,Saint Paris,OH,USA,Formation,"Saw this line show up, disappeared and then showed back up and so I pulled the car over and took out my phone.",Y,Starlink,
Open,2024/09,09/25/2024 21:01,Columbiana,OH,USA,Changing,The craft change shape from triangle to boomerang shape.,,,
Open,2024/09,09/25/2024 21:01,,OH,USA,Changing,Large changing craft with lights from one to the other,,,
Open,2024/09,09/25/2024 20:30,Plymouth,IA,USA,Cigar,Large Silent Black Hot Dog or Cigar Shaped Object with 8 Pairs of Lights - One Pair Shutting Off During Flight,Y,Starlink?,
Open,2024/09,09/25/2024 20:30,Robert Lee,TX,USA,Orb,Two orange ords slowly merge into one and then joined by small white flash,Y,,
Open,2024/09,09/25/2024 20:26,Appleton,IL,USA,Light,We witnessed a series of 4-5 lights in formation flashing in a sequence that hovered and moved.,Y,,
Open,2024/09,09/25/2024 20:10,Arlington,KY,USA,Cylinder,"Huge green flying craft, shaped like blocks in a row, like a caterpillar. Very scary due to size and speed. Planes flying pin drops",,,
Open,2024/09,09/25/2024 14:01,Pomona,KS,USA,Circle,It looked like the Chinese balloon.,Y,Balloon,
Open,2024/09,09/25/2024 09:25,Lawrence,KS,USA,Disk,2 Orb lighting 180°from each other rotating in a counter clockwisein counter clockwise,Y,,
Open,2024/09,09/24/2024 22:20,Chicago,IL,USA,Cigar,Saw weird shaped object moving and flashing lights,Y,,
Open,2024/09,09/24/2024 21:11,Maricopa,AZ,USA,Orb,Light orbs that may triangle formation,Y,,
Open,2024/09,09/24/2024 21:00,Mission Viejo,CA,USA,Circle,A large bright orange round orb with a long tail,,,
Open,2024/09,09/24/2024 20:35,Clive,IA,USA,Orb,Large grey orb hovering silently headin east,Y,,
Open,2024/09,09/24/2024 20:22,Angie,LA,USA,Cigar,While outside on my back porch I saw a weird light coming over the tree line.,Y,,
Open,2024/09,09/24/2024 20:05,Bemidji,MN,USA,Light,Bright white light moving W to E,,,
Open,2024/09,09/24/2024 19:27,Teec Nos Pos,AZ,USA,Light,Looked like an exclamation mark or a linear dash,,,
Open,2024/09,09/24/2024 17:45,Meridian,ID,USA,Sphere,Six white spheres forming a right angle with two white spheres flying at a lower altitude moving faster than an airline.,,,
Open,2024/09,09/24/2024 13:56,Los Angeles,CA,USA,Other,While photographing a small plane I noticed a bright white spot in the lower left of my image,Y,,
Open,2024/09,09/24/2024 13:04,Durban,KwaZulu-Natal,South Africa,Orb,I went with family it was an holiday in south africa. I saw it come out of the water,,,
Open,2024/09,09/24/2024 02:24,Port Hope,ON,Canada,Formation,4-5 crafts in jittery formation over Lake ontario. Heading east.,,,
Open,2024/09,09/23/2024 21:08,Sunnyside,WA,USA,Changing,I was leaving my brothers house and got behind a truck that had just turned on the road then truck just stops & cameras out looking up,Y,,
Open,2024/09,09/23/2024 20:20,Coeur d'Alene,ID,USA,Circle,Bright light going across sky- shrunk down— disappeared,,,
Open,2024/09,09/23/2024 20:01,Manzanita,OR,USA,Orb,"Object low in sky to the south. Manoeuvred in different directions up, down and side to side",Y,Drone?,
Open,2024/09,09/23/2024 06:25,Ridgway,CO,USA,Cylinder,Brightly lit object above the mountains-hasn’t moved in 40 minutes,,,
Open,2024/09,09/23/2024 03:00,Bonney Lake,WA,USA,Circle,Second time seeing this object in the same location then move West over my house,Y,,
Open,2024/09,09/22/2024 23:34,Birdsboro,PA,USA,Orb,Glowing moving light in the trees,Y,,
Open,2024/09,09/22/2024 22:00,Cameron,LA,USA,Circle,"It started with 1 light I noticed on camera moving erratic, now there's 4!",Y,Insect?,
Open !,2024/09,09/22/2024 22:00,,,Greenland,Diamond,"Flying from Greenlands horizon directly under our airplane. Could fly as close as less than 10 m bellow us, almost like taunting us.",,,
Open,2024/09,09/22/2024 21:01,,AB,Canada,Formation,"Lights out cockpit, 38k ft over rural Alberta. No aircraft reported in the area. Object would be at approx 32k ft",Y,,
Open,2024/09,09/22/2024 18:00,Pasadena,TX,USA,Light,"6 unorganized, but close in proximity, very bright objects flew from SE to NW. No sound. Smaller than planes.",Y,Birds?,
Open,2024/09,09/22/2024 15:15,,IL,USA,Cylinder,Stationary white object that when zoom in was flickering,Y,,
Open !,2024/09,09/22/2024 01:30,La Crosse,WI,USA,Orb,Hovering above the ground and then accelerated away a great speed.,,,
Open,2024/09,09/22/2024 00:23,Star,ID,USA,Orb,"Craft at approximately 600-800ft altitude, no sound, stationary, rapidly changing, pulsating multicolored lights. Hovering for hours.",Y,,
Open,2024/09,09/22/2024 00:15,Curitiba,Paraná,Brazil,Triangle,Avistei ovni em formato triangular com luzes em cada ponta ele girava no seu próprio eixo sentido sul,Y,,
Open,2024/09,09/21/2024 22:55,Parry Sound,ON,Canada,Light,We saw lights from stationary positions to instant moving at extreme speed,,,
Open,2024/09,09/21/2024 22:30,Lake Ann,MI,USA,Light,Saw at least four lights in the night sky. Appeared like stars but were moving in many different directions faded in and out of view.,Y,,
Open,2024/09,09/21/2024 20:00,Amboy,WA,USA,Orb,White light appearing and then quickly descending into mountains,,,
Open,2024/09,09/21/2024 19:30,Mazatlan,Sinaloa,Mexico,Cone,Two blinking lights appeared in the middle of nowhere and moved at an impossible speed.,,,
Open,2024/09,09/21/2024 17:21,Brazil,IN,USA,Other,"String of lights tilted (higher end on left, lower on right)",,,
Open,2024/09,09/21/2024 15:47,Chandler,AZ,USA,Oval,About 10 ft melon-shaped oval flew horizontally 400 ft or more in a ENE direction at a constant speed about 35 mph.,,,
Open,2024/09,09/21/2024 15:19,Omega,OK,USA,Orb,"We were on the balcony, and we saw a round thing changing its shape in the sky with specs of light and then it just disspeared",,Drone?,
Open,2024/09,09/21/2024 08:56,Ypsilanti,MI,USA,Light,"While taking dog out, I saw a UAP moving through the sky and started to video.",Y,,
Open,2024/09,09/21/2024 05:15,Beaverdam,OH,USA,Cigar,Wide flat UFO spotted Lima OH on US 30 eastbound,,,
Open,2024/09,09/21/2024 03:20,Canton,IL,USA,Orb,"Saw these in a straight line, equally spaced and following each other closely.",,Starlink,
Open,2024/09,09/21/2024 00:50,Aliquippa,PA,USA,Light,Back yard with several strange beings near it,Y,,
Open,2024/09,09/20/2024 23:45,Bridgeport,CT,USA,Circle,We saw very big round object in the sky.There was a bright round white under it and green and red lights blinking all around it.,,,
Open,2024/09,09/20/2024 23:30,Alpena,MI,USA,Changing,Object moving in different directions/changing velocities simultaneously.,,,
Open,2024/09,09/20/2024 22:30,Barnum,MN,USA,Triangle,Orb split into two making pulsating triangular form. Could feel sensation in my eyes.,,,
Open,2024/09,09/20/2024 21:35,Turkey,NC,USA,Orb,"Very orange orb, flying, super big",,,
Open,2024/09,09/20/2024 21:32,Hereford,England,United Kingdom,Formation,2 bright lights with a visible craft to northeast of the passenger seat.,,,
Open !,2024/09,09/20/2024 21:00,Marathon,FL,USA,Triangle,Craft directly above traveling at 60mph completely silent no exhaust no signs of engines propulsion systems no lights no markings or #s,,,
Open,2024/09,09/20/2024 20:10,Chester,PA,USA,Oval,4 red/orange lights moving south southwest approximately 1500 feet up in the sky,,Chinese Lantern?,
Open,2024/09,09/20/2024 19:50,New Stanton,PA,USA,Unknown,Slow moving object with pulsating red light moving over a farm,,,
Open,2024/09,09/20/2024 19:30,Soham,NM,USA,Triangle,Bright light moving in erratic pattern over Rowe Mesa,Y,,
Open,2024/09,09/20/2024 17:40,San Antonio,TX,USA,Unknown,Looked out window from living room. Saw this odd shape floating freely westward.,Y,Balloon,
Open,2024/09,09/20/2024 15:00,South Amherst,OH,USA,Sphere,Front yard looking up. I see planes all the time and can identify them easily. It flew South to North. Unusual Pattern for area.,,Satellite?,
Open,2024/09,09/20/2024 06:00,Bay Lake,FL,USA,Rectangle,Moved across sky smoothly and steadily at speed 3x or greater than the ISS appearing larger and not as bright,,,
Open,2024/09,09/20/2024 03:16,Itaquaquecetuba,São Paulo,Brazil,Unknown,"I detected it but didn't see it, I only felt it. I call it an abduction because it paralyzed me for five minutes.",,,
,2024/09,,,,,,,,,
Open !,2024/08,08/31/2024 23:45,Nacogdoches,TX,USA,Other,V shaped UFO,,,
Open,2024/08,08/31/2024 23:00,Bellevue,WA,USA,Circle,"We all saw the slow moving light, moving in a west northwest direction, it disappeared rapidly with a brief pulse.",,Satellite,
Open,2024/08,08/31/2024 22:48,Tecumseh,MI,USA,Flash,"Was sleeping, noticed a flying orb through window , went outside saw it flashing like rainbow",Y,Aircraft,
Open,2024/08,08/31/2024 22:42,Miller Lake,ON,Canada,Changing,"1) 3 glowing orbs closely side-by-side. 2) A flashing, erratic moving, colour-changing orb 3) Four orbs spaced evenly apart/in parallel",Y,,
Open,2024/08,08/31/2024 22:41,Burlington,ON,Canada,Triangle,I saw 9 craft that appeared as dots in a delta formation. One leader and four on either side in a delta formation,,,
Open,2024/08,08/31/2024 22:22,Barrington,IL,USA,Changing,"Looking out over my back yard in North Barrington, Illinois at 10pm to 1115pm",Y,,
Open,2024/08,08/31/2024 22:20,Hobson,MT,USA,Formation,String of lights,,Starlink?,
Open,2024/08,08/31/2024 22:12,Jackson,WY,USA,Star,3 UAPs spotted in Bridger-Teton National Forest,,,
Open,2024/08,08/31/2024 22:10,Akron,OH,USA,Triangle,"When returning to apartment, saw three glowing lights in a triangle shape. Could not make out color of craft.",,Chinese Lanterns?,
Open,2024/08,08/31/2024 21:45,Pine,AZ,USA,Orb,While at friend’s cabin with owner we noticed an Object in the sky that we noticed was moving erratically. The movement continued on.,Y,,
Open,2024/08,08/31/2024 21:00,Milton-Freewater,OR,USA,Disk,We Saw a ship it was a silver disk like thing appear and it flew very fast in front of us and then behind a hill,Y,,
Open,2024/08,08/31/2024 21:00,Boca Raton,FL,USA,Fireball,I watched it phase in and out 3 times. The last time it faded out I did not see it anymore.,Y,,
Open,2024/08,08/31/2024 20:30,San Antonio,TX,USA,Unknown,Three nonblinking objects assumed to be satellites,,Satellite,
Open,2024/08,08/31/2024 17:00,Williamston,MI,USA,Disk,A chrome disc flew soundlessly across the sky and seemed to be rotating. It flew much faster than any plane,,,
Open,2024/08,08/31/2024 05:26,Newberry,MI,USA,Rectangle,Craft flew over me,Y,Starlink,
Open,2024/08,08/31/2024 00:30,Randburg,Gauteng,South Africa,Cylinder,At around 12:30 last Friday night we were at friends place in the garden and then my husband noticed glowing objects in the sky.,Y,,
Open,2024/08,08/30/2024 23:43,Benton,KY,USA,Light,Multicoloured stationary light,Y,,
Open,2024/08,08/30/2024 23:00,Omaha,NE,USA,Disk,"At first I thought it was the North Star because of how bright it was, but shortly after began moving sporadically",Y,,
Open,2024/08,08/30/2024 23:00,Pine City,MN,USA,Light,Saw a very bright light shimmering all different colors,,,
Open,2024/08,08/30/2024 21:47,Mount Shasta,CA,USA,Light,Fast yellow light zigzagged from meadow to parking lot,,,
Open,2024/08,08/30/2024 21:34,Preston on Wye,England,United Kingdom,Orb,Seen moving orb in sky at random different directions then stayed still and noticed other less bright orbs moving in parallel with it,,,
Open,2024/08,08/30/2024 11:45,Bellevue,WA,USA,Teardrop,"While driving, I saw two teardrop, white objects traveling across the sky in formation.",,Contrail?,
Open,2024/08,08/30/2024 02:44,,CO,USA,Light,Pilots observed bright lights moving in an unusual manner in the sky above Colorado,,,
Open,2024/08,08/30/2024 01:12,Hessdalen,Trøndelag,Norway,Changing,1 up to 3 orbs changing both colors shape and appearance,Y,,
Open,2024/08,08/30/2024 01:03,Radford,VA,USA,Fireball,I saw a green fireball shooting across the sky in a north to West trajectory,,Meteor,
Open,2024/08,08/29/2024 23:50,Surat,Gujarat,India,Circle,"Saw 2 small, erratic white lights in night sky, no planes on radar; too high for drones",Y,,
Open,2024/08,08/29/2024 21:47,Chester Springs,PA,USA,Cone,I witnessed a blue light in the sky in the dark and it is not a plane.,Y,,
Open,2024/08,08/29/2024 20:10,Enfield,CT,USA,Unknown,5-6 white lights in straight line with one red light,Y,,
Open,2024/08,08/29/2024 20:04,Nanuet,NY,USA,Orb,"Cigar shape white lights in the sky, flashing, spinning and appear to move sporadically and uniformly.",Y,Searchlight,
Open,2024/08,08/29/2024 18:00,Kirkland,WA,USA,Egg,On a roof we took a photo of a drone and this object came flying by,Y,,
Open,2024/08,08/29/2024 17:37,Laughlin,NV,USA,Light,Lit up brilliantly in my right peripheral while I was riding my bicycle.,,,
Open,2024/08,08/29/2024 14:02,Richland,WA,USA,Cigar,Was out with my dogs at my Apartment complex and I saw in the sky a silver/ white object in the sky.,,,
Open,2024/08,08/28/2024 23:50,Campsea Ashe,England,United Kingdom,Light,"While camping, saw a white light emit a blue ""skirt"" of luminous light, unlike any aircraft or natural phenomenon.",,Rocket?,
Open,2024/08,08/28/2024 23:14,Cancún,Quintana Roo,Mexico,Light,"The object is bright emitting gas. The object seems to move quicker then a plane going downwards, in a ""straight"" motion, then zooms up",Y,Rocket?,
Open !,2024/08,08/28/2024 23:00,,,International Waters,Light,Up to six satellite appearing lights under and to west of Big Dipper tail,Y,,
Open,2024/08,08/28/2024 22:06,Hampton,VA,USA,Oval,Grey oval object bouncing above the tree line,Y,,
Open,2024/08,08/28/2024 21:23,Mardela Springs,MD,USA,Other,Approximately 10 to 15 strobing lights in a cluster slowly moved from one side if the sky to another. The lights would pause at times,Y,,
Open,2024/08,08/28/2024 21:15,Bedford,TX,USA,Star,"Extreme velocity dot, ESE trajectory, followed by abrupt U turn and disappearance.",,,
Open,2024/08,08/28/2024 20:40,İstanbul,İstanbul,Türkiye,Orb,5 orbs very large moving very fast into each other then seperating,,,
Open,2024/08,08/28/2024 17:01,Pagryniai,Klaipėdos apskritis,Lithuania,Disk,"A disc-shaped object with lights underneath was visible, and it accelerated at lightning speed.",,,
Open,2024/08,08/28/2024 04:49,Windsor,CO,USA,Cylinder,Saw a cigar shaped object moving overhead from southwest to northeast,Y,Starlink?,
Open,2024/08,08/28/2024 00:24,Cevallos,Tungurahua,Ecuador,Disk,":uminous, disc-shaped object with white and blue lights flashing intermittently",Y,,
Open,2024/08,08/27/2024 21:02,Cold Spring,NY,USA,Cigar,"Vertical cigar and 11 external lights at different distance from the cigar. Went up, then down then did a right angle and zoomed out.",,,
Open,2024/08,08/26/2024 23:36,Saue,Harju maakond,Estonia,Star,"Moved a lot faster than satellites and planes. Changes trajectory and speed. Wasn’t plane, satellite or falling star.",,,
Open,2024/08,08/26/2024 21:17,Las Vegas,NV,USA,Other,Saucer-like triangulation with a jutting bottom.,Y,Cloud?,
Open,2024/08,08/26/2024 21:05,Palmdale,CA,USA,Orb,"Bright orb, zigzagging back and forth, became still as a star when a large presumed military aircraft got close, then cont. Zigzags",,,
Open,2024/08,08/26/2024 20:38,Sedgwick,CO,USA,Orb,Saw a blue light coming from the west,Y,,
Open,2024/08,08/26/2024 14:17,Hood River,OR,USA,Unknown,Was taking zoomed in pictures of a 4 engine jet for a wallpaper on my phone.,Y,Bird?,
Open,2024/08,08/26/2024 11:46,Bristol,VT,USA,Circle,Clear sky night no clouds. I saw a bright light moving erratically unlike anything I've ever seen.,Y,,
Open,2024/08,08/25/2024 23:32,Prospect,ME,USA,Orb,Brilliant white light/orb in sky,Y,,
Open,2024/08,08/25/2024 19:44,Millville,NJ,USA,Sphere,I was taking pictures of wasps then looked up and to the right of the trees and above I seen an flying object moving very fast,Y,,
Open,2024/08,08/25/2024 19:32,Los Angeles,CA,USA,Unknown,I personally recorded photo and video,Y,,
Open,2024/08,08/25/2024 18:45,Butte,MT,USA,Oval,"Started as a white object, then when viewed later though a telescope it appeared as a balloon with 2 arcs of individual lights",,,
Open,2024/08,08/25/2024 18:40,Las Vegas,NV,USA,Other,"Object stopped in the air, started to move again and disappeared in a blink of an eye.",,,
Open,2024/08,08/25/2024 18:08,Pembroke,NY,USA,Cylinder,Seemed to appear out of no where and dissipate.,Y,Balloon,
Open,2024/08,08/25/2024 13:00,Goose Prairie,WA,USA,Sphere,2 looking spheres hovering on a windy day,Y,Cloud,
Open,2024/08,08/25/2024 10:03,,NV,USA,Disk,Saw a disc with lights rise from the ground,Y,Reflection,
Open,2024/08,08/25/2024 03:30,Sandy,OR,USA,Disk,At 3:30 am I saw red light blinking in circular motion. No noise. A jet with FAA lights followed it. Jet made noise.,,,
Open,2024/08,08/24/2024 23:00,Goshen,IN,USA,Changing,It caught my eye flashing bright white out the bedroom window.,Y,,
Open,2024/08,08/24/2024 22:00,Carpenter,MN,USA,Circle,Consistent with report # Sighting 182766 . we are located north -east of that report,,,
Open,2024/08,08/24/2024 21:50,Bemidji,MN,USA,Light,Series of bright lights traveling from NW to NE in the sky,,,
Open !,2024/08,08/24/2024 21:22,Cleveland,OH,USA,Formation,Glob of lights in a stationary position slowly changes formations while pulsating its lights through the sky.,Y,,
Open,2024/08,08/24/2024 19:00,New Orleans,LA,USA,Orb,"While staying at an airbnb on vacation in New Orleans, I saw 5 yellowish white orbs levitating right in front of me.",,,
Open,2024/08,08/24/2024 17:30,Overland Park,KS,USA,Oval,"Small metallic object, low altitude, straight path, constant speed.",,,
Open,2024/08,08/24/2024 16:30,South Moreton,England,United Kingdom,Flash,2 or 3 flashes of intense light in a stationary location,,,
Open,2024/08,08/24/2024 12:00,Zoe,KY,USA,Light,Moving Stars not shooting but moving multi directional at different speeds,,,
Open,2024/08,08/24/2024 11:34,Aguas Calientes,Cusco,Peru,Changing,"A ship with a yellow center, emitting golden wav",Y,,
Open,2024/08,08/24/2024 04:14,,AK,USA,Triangle,I was driving home and noticed a flying object.,,,
Open,2024/08,08/23/2024 23:30,Burlington,IL,USA,Orb,A glowing orange orb appeared in the sky to the northeast moving downwards at a rapid speed and seemed to disappear.,,Chinese Lantern,
